Designator,Mid X,Mid Y,Layer,Rotation
"C1",44.5000,46.2500,top,-90.0000
"C2",22.2500,38.2500,top,-90.0000
"C3",22.8000,43.7000,top,-90.0000
"C4",20.2500,21.5000,top,90.0000
"C5",28.8000,21.3000,top,90.0000
"C6",28.5000,34.5000,top,90.0000
"C7",29.5000,34.5000,top,-90.0000
"C8",29.9000,21.3000,top,90.0000
"C9",29.4000,41.2000,top,180.0000
"C10",22.0000,35.0000,top,90.0000
"C11",18.2000,28.7500,top,90.0000
"C12",19.1000,23.6000,top,-90.0000
"C13",31.7500,28.1000,top,180.0000
"C14",5.2000,5.6500,top,-90.0000
"C16",45.3500,14.3500,top,90.0000
"C17",4.2500,15.6000,top,90.0000
"C18",33.4500,17.1500,top,90.0000
"C19",31.9000,18.8000,top,-90.0000
"CON1",5.0000,26.0000,bottom,180.0000
"CON2",45.0000,26.0000,bottom,180.0000
"R1",5.0000,46.2000,top,180.0000
"R2",5.1000,50.4000,top,180.0000
"R3",17.6000,44.6000,top,-90.0000
"R4",17.0000,39.2500,top,90.0000
"R6",25.6500,46.5100,top,-90.0000
"U1",24.9000,27.8000,top,180.0000
